Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED","LED_0805_2012Metric",307.000000,-81.000000,270.000000,bottom
"Q1","Q_NMOS_GDS","TO-252-3_TabPin2",276.350000,-116.750000,180.000000,bottom
"R1","2k2","R_2010_5025Metric",92.500000,-112.000000,0.000000,bottom
"R2","2k2","R_2010_5025Metric",92.500000,-117.000000,180.000000,bottom
"R3","2k2","R_2010_5025Metric",92.500000,-122.000000,0.000000,bottom
"R4","2k2","R_2010_5025Metric",94.500000,-128.000000,270.000000,bottom
"R5","2k2","R_2010_5025Metric",94.500000,-136.000000,270.000000,bottom
"R6","2k2","R_2010_5025Metric",94.500000,-144.000000,270.000000,bottom
"R7","2k2","R_2010_5025Metric",92.500000,-150.000000,180.000000,bottom
"R8","2k2","R_2010_5025Metric",92.500000,-155.000000,0.000000,bottom
"R9","2k2","R_2010_5025Metric",92.500000,-160.000000,180.000000,bottom
"R10","2k2","R_2010_5025Metric",107.000000,-112.000000,0.000000,bottom
"R11","2k2","R_2010_5025Metric",107.000000,-118.000000,180.000000,bottom
"R12","2k2","R_2010_5025Metric",107.000000,-124.000000,0.000000,bottom
"R13","2k2","R_2010_5025Metric",107.000000,-130.000000,180.000000,bottom
"R14","2k2","R_2010_5025Metric",107.000000,-136.000000,0.000000,bottom
"R15","2k2","R_2010_5025Metric",107.000000,-142.000000,180.000000,bottom
"R16","2k2","R_2010_5025Metric",107.000000,-148.000000,0.000000,bottom
"R17","2k2","R_2010_5025Metric",107.000000,-154.000000,180.000000,bottom
"R18","2k2","R_2010_5025Metric",107.000000,-160.000000,0.000000,bottom
"R19","2k2","R_2010_5025Metric",122.000000,-112.000000,0.000000,bottom
"R20","2k2","R_2010_5025Metric",122.000000,-118.000000,180.000000,bottom
"R21","2k2","R_2010_5025Metric",122.000000,-124.000000,0.000000,bottom
"R22","2k2","R_2010_5025Metric",122.000000,-130.000000,180.000000,bottom
"R23","2k2","R_2010_5025Metric",122.000000,-136.000000,0.000000,bottom
"R24","2k2","R_2010_5025Metric",122.000000,-142.000000,180.000000,bottom
"R25","2k2","R_2010_5025Metric",122.000000,-148.000000,0.000000,bottom
"R26","2k2","R_2010_5025Metric",122.000000,-154.000000,180.000000,bottom
"R27","2k2","R_2010_5025Metric",122.000000,-160.000000,0.000000,bottom
"R28","2k2","R_2010_5025Metric",137.000000,-112.000000,0.000000,bottom
"R29","2k2","R_2010_5025Metric",137.000000,-118.000000,180.000000,bottom
"R30","2k2","R_2010_5025Metric",137.000000,-124.000000,0.000000,bottom
"R31","2k2","R_2010_5025Metric",137.000000,-130.000000,180.000000,bottom
"R32","2k2","R_2010_5025Metric",137.000000,-136.000000,0.000000,bottom
"R33","2k2","R_2010_5025Metric",137.000000,-142.000000,180.000000,bottom
"R34","2k2","R_2010_5025Metric",137.000000,-148.000000,0.000000,bottom
"R35","2k2","R_2010_5025Metric",137.000000,-154.000000,180.000000,bottom
"R36","2k2","R_2010_5025Metric",137.000000,-160.000000,0.000000,bottom
"R37","2k2","R_2010_5025Metric",152.000000,-112.000000,0.000000,bottom
"R38","2k2","R_2010_5025Metric",152.000000,-118.000000,180.000000,bottom
