NEODEN,YY1,P&P FILE,,,,,,,,,,,
,,,,,,,,,,,,,
PanelizedPCB,UnitLength,0,UnitWidth,0,Rows,1,Columns,1,
,,,,,,,,,,,,,
Fiducial,1-X,4.00,1-Y,14.00,OverallOffsetX,0,OverallOffsetY,0,
,,,,,,,,,,,,,
NozzleChange,ON,BeforeComponent,7,Head2,Drop,Station1,PickUp,Station2,
NozzleChange,OFF,BeforeComponent,1,Head2,Drop,Station1,PickUp,Station1,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station1,PickUp,Station1,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station1,PickUp,Station1,
,,,,,,,,,,,,,
Designator,Comment,Footprint,Mid X(mm),Mid Y(mm) ,Rotation,Head ,FeederNo,Mount Speed(%),Pick Height(mm),Place Height(mm),Mode,Skip

D1,LED,CN065-0805,9.5,12.5,180,2,5,100,0,0.9,3,0
TH1,Thermistor_NTC,CN065-0805,14,135,90,2,24,100,0,1.25,3,0
R112,20R,CN065-0805,6.75,12.5,0,2,17,100,0,0.7,3,0
R110,100R,CN065-0805,6.75,4.5,0,2,14,100,0,0.7,3,0
R109,100R,CN065-0805,9.25,4.5,0,2,14,100,0,0.7,3,0
R111,5M1,CN065-1206,14.5,19,90,2,6,100,0,0.6,3,0
Q1,Q_NMOS_GDS,CN140-TO-252,42.75,38.15,0,1,44,100,0,2.3,4,0
U1,APV1121S,CN140-SOP4,14.75,12,0,2,19,100,0,2,3,0
R100,2k2,CN140-2010,38,57.5,0,1,20,100,0,0.7,3,0
R101,2k2,CN140-2010,43,57.5,0,2,20,100,0,0.7,3,0
R102,2k2,CN140-2010,48,57.5,0,1,20,100,0,0.7,3,0
R106,2k2,CN140-2010,76,57.5,0,2,20,100,0,0.7,3,0
R107,2k2,CN140-2010,81,57.5,0,1,20,100,0,0.7,3,0
R108,2k2,CN140-2010,86,57.5,0,2,20,100,0,0.7,3,0
R103,2k2,CN140-2010,54,59,90,1,20,100,0,0.7,3,0
R104,2k2,CN140-2010,62,59,90,2,20,100,0,0.7,3,0
R105,2k2,CN140-2010,70,59,90,1,20,100,0,0.7,3,0
R91,2k2,CN140-2010,38,72.5,0,2,20,100,0,0.7,3,0
R92,2k2,CN140-2010,44,72.5,0,1,20,100,0,0.7,3,0
R93,2k2,CN140-2010,50,72.5,0,2,20,100,0,0.7,3,0
R94,2k2,CN140-2010,56,72.5,0,1,20,100,0,0.7,3,0
R95,2k2,CN140-2010,62,72.5,0,2,20,100,0,0.7,3,0
R96,2k2,CN140-2010,68,72.5,0,1,20,100,0,0.7,3,0
R97,2k2,CN140-2010,74,72.5,0,2,20,100,0,0.7,3,0
R98,2k2,CN140-2010,80,72.5,0,1,20,100,0,0.7,3,0
R99,2k2,CN140-2010,86,72.5,0,2,20,100,0,0.7,3,0
R82,2k2,CN140-2010,38,87.5,0,1,20,100,0,0.7,3,0
R83,2k2,CN140-2010,44,87.5,0,2,20,100,0,0.7,3,0
R84,2k2,CN140-2010,50,87.5,0,1,20,100,0,0.7,3,0
R85,2k2,CN140-2010,56,87.5,0,2,20,100,0,0.7,3,0
R86,2k2,CN140-2010,62,87.5,0,1,20,100,0,0.7,3,0
R87,2k2,CN140-2010,68,87.5,0,2,20,100,0,0.7,3,0
R88,2k2,CN140-2010,74,87.5,0,1,20,100,0,0.7,3,0
R89,2k2,CN140-2010,80,87.5,0,2,20,100,0,0.7,3,0
R90,2k2,CN140-2010,86,87.5,0,1,20,100,0,0.7,3,0
R73,2k2,CN140-2010,38,102.5,0,2,20,100,0,0.7,3,0
R74,2k2,CN140-2010,44,102.5,0,1,20,100,0,0.7,3,0
R75,2k2,CN140-2010,50,102.5,0,2,20,100,0,0.7,3,0
R76,2k2,CN140-2010,56,102.5,0,1,20,100,0,0.7,3,0
R77,2k2,CN140-2010,62,102.5,0,2,20,100,0,0.7,3,0
R78,2k2,CN140-2010,68,102.5,0,1,20,100,0,0.7,3,0
R79,2k2,CN140-2010,74,102.5,0,2,20,100,0,0.7,3,0
R80,2k2,CN140-2010,80,102.5,0,1,20,100,0,0.7,3,0
R81,2k2,CN140-2010,86,102.5,0,2,20,100,0,0.7,3,0
R64,2k2,CN140-2010,38,117.5,0,1,20,100,0,0.7,3,0
R65,2k2,CN140-2010,44,117.5,0,2,20,100,0,0.7,3,0
R66,2k2,CN140-2010,50,117.5,0,1,20,100,0,0.7,3,0
R67,2k2,CN140-2010,56,117.5,0,2,20,100,0,0.7,3,0
R68,2k2,CN140-2010,62,117.5,0,1,20,100,0,0.7,3,0
R69,2k2,CN140-2010,68,117.5,0,2,20,100,0,0.7,3,0
R70,2k2,CN140-2010,74,117.5,0,1,20,100,0,0.7,3,0
R71,2k2,CN140-2010,80,117.5,0,2,20,100,0,0.7,3,0
R72,2k2,CN140-2010,86,117.5,0,1,20,100,0,0.7,3,0
R55,2k2,CN140-2010,38,132.5,0,2,20,100,0,0.7,3,0
R56,2k2,CN140-2010,44,132.5,0,1,20,100,0,0.7,3,0
R57,2k2,CN140-2010,50,132.5,0,2,20,100,0,0.7,3,0
R58,2k2,CN140-2010,56,132.5,0,1,20,100,0,0.7,3,0
R59,2k2,CN140-2010,62,132.5,0,2,20,100,0,0.7,3,0
R60,2k2,CN140-2010,68,132.5,0,1,20,100,0,0.7,3,0
R61,2k2,CN140-2010,74,132.5,0,2,20,100,0,0.7,3,0
R62,2k2,CN140-2010,80,132.5,0,1,20,100,0,0.7,3,0
R63,2k2,CN140-2010,86,132.5,0,2,20,100,0,0.7,3,0
R46,2k2,CN140-2010,38,147.5,0,1,20,100,0,0.7,3,0
R47,2k2,CN140-2010,44,147.5,0,2,20,100,0,0.7,3,0
R48,2k2,CN140-2010,50,147.5,0,1,20,100,0,0.7,3,0
R49,2k2,CN140-2010,56,147.5,0,2,20,100,0,0.7,3,0
R50,2k2,CN140-2010,62,147.5,0,1,20,100,0,0.7,3,0
R51,2k2,CN140-2010,68,147.5,0,2,20,100,0,0.7,3,0
R52,2k2,CN140-2010,74,147.5,0,1,20,100,0,0.7,3,0
R53,2k2,CN140-2010,80,147.5,0,2,20,100,0,0.7,3,0
R54,2k2,CN140-2010,86,147.5,0,1,20,100,0,0.7,3,0
R37,2k2,CN140-2010,38,162.5,0,2,20,100,0,0.7,3,0
R38,2k2,CN140-2010,44,162.5,0,1,20,100,0,0.7,3,0
R39,2k2,CN140-2010,50,162.5,0,2,20,100,0,0.7,3,0
R40,2k2,CN140-2010,56,162.5,0,1,20,100,0,0.7,3,0
R41,2k2,CN140-2010,62,162.5,0,2,20,100,0,0.7,3,0
R42,2k2,CN140-2010,68,162.5,0,1,20,100,0,0.7,3,0
R43,2k2,CN140-2010,74,162.5,0,2,20,100,0,0.7,3,0
R44,2k2,CN140-2010,80,162.5,0,1,20,100,0,0.7,3,0
R45,2k2,CN140-2010,86,162.5,0,2,20,100,0,0.7,3,0
R28,2k2,CN140-2010,38,177.5,0,1,20,100,0,0.7,3,0
R29,2k2,CN140-2010,44,177.5,0,2,20,100,0,0.7,3,0
R30,2k2,CN140-2010,50,177.5,0,1,20,100,0,0.7,3,0
R31,2k2,CN140-2010,56,177.5,0,2,20,100,0,0.7,3,0
R32,2k2,CN140-2010,62,177.5,0,1,20,100,0,0.7,3,0
R33,2k2,CN140-2010,68,177.5,0,2,20,100,0,0.7,3,0
R34,2k2,CN140-2010,74,177.5,0,1,20,100,0,0.7,3,0
R35,2k2,CN140-2010,80,177.5,0,2,20,100,0,0.7,3,0
R36,2k2,CN140-2010,86,177.5,0,1,20,100,0,0.7,3,0
R19,2k2,CN140-2010,38,192.5,0,2,20,100,0,0.7,3,0
R20,2k2,CN140-2010,44,192.5,0,1,20,100,0,0.7,3,0
R21,2k2,CN140-2010,50,192.5,0,2,20,100,0,0.7,3,0
R22,2k2,CN140-2010,56,192.5,0,1,20,100,0,0.7,3,0
R23,2k2,CN140-2010,62,192.5,0,2,20,100,0,0.7,3,0
R24,2k2,CN140-2010,68,192.5,0,1,20,100,0,0.7,3,0
R25,2k2,CN140-2010,74,192.5,0,2,20,100,0,0.7,3,0
R26,2k2,CN140-2010,80,192.5,0,1,20,100,0,0.7,3,0
R27,2k2,CN140-2010,86,192.5,0,2,20,100,0,0.7,3,0
R10,2k2,CN140-2010,38,207.5,0,1,20,100,0,0.7,3,0
R11,2k2,CN140-2010,44,207.5,0,2,20,100,0,0.7,3,0
R12,2k2,CN140-2010,50,207.5,0,1,20,100,0,0.7,3,0
R13,2k2,CN140-2010,56,207.5,0,2,20,100,0,0.7,3,0
R14,2k2,CN140-2010,62,207.5,0,1,20,100,0,0.7,3,0
R15,2k2,CN140-2010,68,207.5,0,2,20,100,0,0.7,3,0
R16,2k2,CN140-2010,74,207.5,0,1,20,100,0,0.7,3,0
R17,2k2,CN140-2010,80,207.5,0,2,20,100,0,0.7,3,0
R18,2k2,CN140-2010,86,207.5,0,1,20,100,0,0.7,3,0
R4,2k2,CN140-2010,54,220,90,2,20,100,0,0.7,3,0
R6,2k2,CN140-2010,70,220,90,1,20,100,0,0.7,3,0
R1,2k2,CN140-2010,38,222,0,2,20,100,0,0.7,3,0
R2,2k2,CN140-2010,43,222,0,1,20,100,0,0.7,3,0
R3,2k2,CN140-2010,48,222,0,2,20,100,0,0.7,3,0
R7,2k2,CN140-2010,76,222,0,1,20,100,0,0.7,3,0
R8,2k2,CN140-2010,81,222,0,2,20,100,0,0.7,3,0
R9,2k2,CN140-2010,86,222,0,1,20,100,0,0.7,3,0
R5,2k2,CN140-2010,27,232.5,0,2,20,100,0,0.7,3,0
R113,2k2,CN140-2010,33,232.5,0,1,20,100,0,0.7,3,0
R114,2k2,CN140-2010,39,232.5,0,2,20,100,0,0.7,3,0
R115,2k2,CN140-2010,45,232.5,0,1,20,100,0,0.7,3,0
R116,2k2,CN140-2010,79,232.5,0,2,20,100,0,0.7,3,0
R117,2k2,CN140-2010,85,232.5,0,1,20,100,0,0.7,3,0
R118,2k2,CN140-2010,91,232.5,0,2,20,100,0,0.7,3,0
R119,2k2,CN140-2010,97,232.5,0,1,20,100,0,0.7,3,0
