Ref,Val,Package,PosX,PosY,Rot,Side
"R1","2k2","R_2010_5025Metric",-278.000000,-38.000000,0.000000,bottom
"R2","2k2","R_2010_5025Metric",-278.000000,-43.000000,180.000000,bottom
"R3","2k2","R_2010_5025Metric",-278.000000,-48.000000,0.000000,bottom
"R4","2k2","R_2010_5025Metric",-276.000000,-54.000000,-90.000000,bottom
"R6","2k2","R_2010_5025Metric",-276.000000,-70.000000,-90.000000,bottom
"R7","2k2","R_2010_5025Metric",-278.000000,-76.000000,180.000000,bottom
"R8","2k2","R_2010_5025Metric",-278.000000,-81.000000,0.000000,bottom
"R9","2k2","R_2010_5025Metric",-278.000000,-86.000000,180.000000,bottom
"R10","2k2","R_2010_5025Metric",-263.500000,-38.000000,0.000000,bottom
"R11","2k2","R_2010_5025Metric",-263.500000,-44.000000,180.000000,bottom
"R12","2k2","R_2010_5025Metric",-263.500000,-50.000000,0.000000,bottom
"R13","2k2","R_2010_5025Metric",-263.500000,-56.000000,180.000000,bottom
"R14","2k2","R_2010_5025Metric",-263.500000,-62.000000,0.000000,bottom
"R15","2k2","R_2010_5025Metric",-263.500000,-68.000000,180.000000,bottom
"R16","2k2","R_2010_5025Metric",-263.500000,-74.000000,0.000000,bottom
"R17","2k2","R_2010_5025Metric",-263.500000,-80.000000,180.000000,bottom
"R18","2k2","R_2010_5025Metric",-263.500000,-86.000000,0.000000,bottom
"R19","2k2","R_2010_5025Metric",-248.500000,-38.000000,0.000000,bottom
"R20","2k2","R_2010_5025Metric",-248.500000,-44.000000,180.000000,bottom
"R21","2k2","R_2010_5025Metric",-248.500000,-50.000000,0.000000,bottom
"R22","2k2","R_2010_5025Metric",-248.500000,-56.000000,180.000000,bottom
"R23","2k2","R_2010_5025Metric",-248.500000,-62.000000,0.000000,bottom
"R24","2k2","R_2010_5025Metric",-248.500000,-68.000000,180.000000,bottom
"R25","2k2","R_2010_5025Metric",-248.500000,-74.000000,0.000000,bottom
"R26","2k2","R_2010_5025Metric",-248.500000,-80.000000,180.000000,bottom
"R27","2k2","R_2010_5025Metric",-248.500000,-86.000000,0.000000,bottom
"R28","2k2","R_2010_5025Metric",-233.500000,-38.000000,0.000000,bottom
"R29","2k2","R_2010_5025Metric",-233.500000,-44.000000,180.000000,bottom
"R30","2k2","R_2010_5025Metric",-233.500000,-50.000000,0.000000,bottom
"R31","2k2","R_2010_5025Metric",-233.500000,-56.000000,180.000000,bottom
"R32","2k2","R_2010_5025Metric",-233.500000,-62.000000,0.000000,bottom
"R33","2k2","R_2010_5025Metric",-233.500000,-68.000000,180.000000,bottom
"R34","2k2","R_2010_5025Metric",-233.500000,-74.000000,0.000000,bottom
"R35","2k2","R_2010_5025Metric",-233.500000,-80.000000,180.000000,bottom
"R36","2k2","R_2010_5025Metric",-233.500000,-86.000000,0.000000,bottom
"R37","2k2","R_2010_5025Metric",-218.500000,-38.000000,0.000000,bottom
"R38","2k2","R_2010_5025Metric",-218.500000,-44.000000,180.000000,bottom
"R39","2k2","R_2010_5025Metric",-218.500000,-50.000000,0.000000,bottom
"R40","2k2","R_2010_5025Metric",-218.500000,-56.000000,180.000000,bottom
"R41","2k2","R_2010_5025Metric",-218.500000,-62.000000,0.000000,bottom
"R42","2k2","R_2010_5025Metric",-218.500000,-68.000000,180.000000,bottom
"R43","2k2","R_2010_5025Metric",-218.500000,-74.000000,0.000000,bottom
"R44","2k2","R_2010_5025Metric",-218.500000,-80.000000,180.000000,bottom
"R45","2k2","R_2010_5025Metric",-218.500000,-86.000000,0.000000,bottom
"R46","2k2","R_2010_5025Metric",-203.500000,-38.000000,0.000000,bottom
"R47","2k2","R_2010_5025Metric",-203.500000,-44.000000,180.000000,bottom
"R48","2k2","R_2010_5025Metric",-203.500000,-50.000000,0.000000,bottom
"R49","2k2","R_2010_5025Metric",-203.500000,-56.000000,180.000000,bottom
"R50","2k2","R_2010_5025Metric",-203.500000,-62.000000,0.000000,bottom
"R51","2k2","R_2010_5025Metric",-203.500000,-68.000000,180.000000,bottom
"R52","2k2","R_2010_5025Metric",-203.500000,-74.000000,0.000000,bottom
"R53","2k2","R_2010_5025Metric",-203.500000,-80.000000,180.000000,bottom
"R54","2k2","R_2010_5025Metric",-203.500000,-86.000000,0.000000,bottom
