Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",104.500000,55.500000,180.000000,top
"C2","100n","C_0805_2012Metric",80.750000,52.250000,180.000000,top
"C3","100n","C_0805_2012Metric",112.000000,66.250000,0.000000,top
"C4","100n","C_0805_2012Metric",124.000000,43.250000,270.000000,top
"C5","22u","C_1210_3225Metric",152.500000,58.500000,270.000000,top
"C6","100n","C_0805_2012Metric",90.000000,54.250000,90.000000,top
"C7","100n","C_0805_2012Metric",140.500000,44.750000,180.000000,top
"C8","100n","C_0805_2012Metric",140.500000,47.500000,180.000000,top
"C9","100p","C_0805_2012Metric",92.500000,58.750000,0.000000,top
"C10","100p","C_0805_2012Metric",83.000000,55.250000,180.000000,top
"C11","100p","C_0805_2012Metric",107.500000,48.500000,90.000000,top
"D1","LED","LED_0805_2012Metric",133.000000,66.500000,270.000000,top
"D4","D_Zener","D_SOD-123",144.250000,41.750000,90.000000,top
"D5","LED","LED_0805_2012Metric",126.750000,53.500000,90.000000,top
"Q1","Q_NMOS_GDS","TO-252-3_TabPin2",159.000000,61.650000,270.000000,top
"Q2","Q_NMOS_GSD","SOT-23",146.800000,55.000000,0.000000,top
"Q3","Q_NMOS_GSD","SOT-23",148.000000,60.000000,0.000000,top
"R1","100","R_0805_2012Metric",124.000000,47.500000,90.000000,top
"R2","100","R_0805_2012Metric",133.750000,48.750000,270.000000,top
"R3","100k","R_0805_2012Metric",200.500000,48.000000,270.000000,top
"R4","100k","R_0805_2012Metric",198.250000,41.750000,270.000000,top
"R5","DNP","R_0805_2012Metric",196.000000,48.000000,270.000000,top
"R6","100k","R_0805_2012Metric",191.250000,41.750000,270.000000,top
"R7","100k","R_0805_2012Metric",191.500000,48.000000,270.000000,top
"R8","100","R_0805_2012Metric",126.750000,63.500000,180.000000,top
"R9","20","R_0805_2012Metric",130.250000,66.500000,270.000000,top
"R10","100","R_0805_2012Metric",126.750000,66.000000,180.000000,top
"R11","100","R_0805_2012Metric",119.750000,58.000000,270.000000,top
"R12","100","R_0805_2012Metric",126.750000,49.250000,270.000000,top
"R13","7k32","R_0805_2012Metric",130.250000,48.750000,270.000000,top
"R14","100","R_0805_2012Metric",123.250000,58.000000,90.000000,top
"R15","5M1","R_1206_3216Metric",147.500000,65.500000,270.000000,top
"R16","DNP","R_0805_2012Metric",187.000000,48.000000,270.000000,top
"R17","100k","R_0805_2012Metric",184.250000,41.750000,270.000000,top
"R18","DNP","R_0805_2012Metric",194.750000,41.750000,270.000000,top
"R19","100k","R_0805_2012Metric",182.500000,48.000000,270.000000,top
"R20","100k","R_0805_2012Metric",187.750000,41.750000,270.000000,top
"R21","20","R_0805_2012Metric",120.000000,47.750000,0.000000,top
"R22","20","R_0805_2012Metric",152.500000,65.850000,180.000000,top
"R23","1k24","R_0805_2012Metric",144.500000,46.500000,90.000000,top
"R24","1k24","R_0805_2012Metric",150.750000,54.250000,180.000000,top
"R25","71k5","R_0805_2012Metric",142.600000,55.000000,270.000000,top
"R26","10k","R_0805_2012Metric",144.500000,50.750000,90.000000,top
"R27","10k","R_0805_2012Metric",140.500000,50.250000,180.000000,top
"R28","10k","R_0805_2012Metric",143.600000,62.050000,180.000000,top
"R29","768","R_0805_2012Metric",143.500000,58.500000,0.000000,top
"R30","768","R_0805_2012Metric",152.500000,63.250000,0.000000,top
"R31","7k32","R_0805_2012Metric",107.000000,52.750000,0.000000,top
"R32","7k32","R_0805_2012Metric",107.750000,57.750000,90.000000,top
"R33","7k32","R_0805_2012Metric",104.087500,58.500000,180.000000,top
"R34","7k32","R_0805_2012Metric",103.500000,51.750000,270.000000,top
"R35","100","R_0805_2012Metric",99.000000,58.750000,180.000000,top
"R36","100","R_0805_2012Metric",126.750000,59.250000,270.000000,top
"U1","APV1121S","SOP-4_3.8x4.1mm_P2.54mm",139.000000,66.250000,0.000000,top
"U2","LM4040DBZ-5","SOT-23",140.000000,41.000000,180.000000,top
"U3","SFH620A-2X007T","SMDIP-4_W9.53mm_Clearance8mm",135.000000,60.250000,0.000000,top
"U4","SFH620A-2X007T","SMDIP-4_W9.53mm_Clearance8mm",135.000000,54.000000,0.000000,top
"U5","74LVC125","SO-14_3.9x8.65mm_P1.27mm",96.250000,53.250000,90.000000,top
