NEODEN,YY1,P&P FILE,,,,,,,,,,,
,,,,,,,,,,,,,
PanelizedPCB,UnitLength,0,UnitWidth,0,Rows,1,Columns,1,
,,,,,,,,,,,,,
Fiducial,1-X,110.18,1-Y,201.60,OverallOffsetX,0,OverallOffsetY,0,
,,,,,,,,,,,,,
NozzleChange,ON,BeforeComponent,481,Head2,Drop,Station1,PickUp,Station2,
NozzleChange,ON,BeforeComponent,625,Head2,Drop,Station2,PickUp,Station3,
NozzleChange,ON,BeforeComponent,646,Head2,Drop,Station3,PickUp,Station1,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station1,PickUp,Station1,
,,,,,,,,,,,,,
Designator,Comment,Footprint,Mid X(mm),Mid Y(mm) ,Rotation,Head ,FeederNo,Mount Speed(%),Pick Height(mm),Place Height(mm),Mode,Skip
R354,100R,CN065-0805,8.27,337.60,0.00,1,14,100,0.0,0.7,3,0
R355,100R,CN065-0805,8.31,335.14,0.00,2,14,100,0.0,0.7,3,0
R217,100R,CN065-0805,17.31,232.75,0.00,1,14,100,0.0,0.7,3,0
R216,100R,CN065-0805,16.35,210.75,0.00,2,14,100,0.0,0.7,3,0
R189,100R,CN065-0805,14.65,199.35,90.00,1,14,100,0.0,0.7,3,0
R190,100R,CN065-0805,18.85,199.35,90.00,2,14,100,0.0,0.7,3,0
R145,100R,CN065-0805,15.15,279.75,90.00,1,14,100,0.0,0.7,3,0
R144,100R,CN065-0805,11.13,279.69,90.00,2,14,100,0.0,0.7,3,0
R146,100R,CN065-0805,19.36,279.75,90.00,1,14,100,0.0,0.7,3,0
R170,100R,CN065-0805,20.83,290.90,90.00,2,14,100,0.0,0.7,3,0
R191,100R,CN065-0805,23.05,199.35,90.00,1,14,100,0.0,0.7,3,0
R192,100R,CN065-0805,27.05,199.35,90.00,2,14,100,0.0,0.7,3,0
R147,100R,CN065-0805,23.55,279.75,90.00,1,14,100,0.0,0.7,3,0
R148,100R,CN065-0805,27.75,279.75,90.00,2,14,100,0.0,0.7,3,0
R169,100R,CN065-0805,31.66,293.25,0.00,1,14,100,0.0,0.7,3,0
R149,100R,CN065-0805,31.85,279.75,90.00,2,14,100,0.0,0.7,3,0
R278,100R,CN065-0805,32.40,124.70,0.00,1,14,100,0.0,0.7,3,0
R279,100R,CN065-0805,32.90,128.70,0.00,2,14,100,0.0,0.7,3,0
R280,100R,CN065-0805,32.90,132.80,0.00,1,14,100,0.0,0.7,3,0
R281,100R,CN065-0805,32.90,136.90,0.00,2,14,100,0.0,0.7,3,0
R282,100R,CN065-0805,32.90,141.10,0.00,1,14,100,0.0,0.7,3,0
R283,100R,CN065-0805,32.90,145.10,0.00,2,14,100,0.0,0.7,3,0
R284,100R,CN065-0805,32.90,149.20,0.00,1,14,100,0.0,0.7,3,0
R285,100R,CN065-0805,32.90,153.30,0.00,2,14,100,0.0,0.7,3,0
R286,100R,CN065-0805,32.90,157.40,0.00,1,14,100,0.0,0.7,3,0
R287,100R,CN065-0805,32.90,161.50,0.00,2,14,100,0.0,0.7,3,0
R288,100R,CN065-0805,32.90,165.60,0.00,1,14,100,0.0,0.7,3,0
R289,100R,CN065-0805,32.90,169.70,0.00,2,14,100,0.0,0.7,3,0
R193,100R,CN065-0805,31.25,199.35,90.00,1,14,100,0.0,0.7,3,0
R194,100R,CN065-0805,35.35,199.35,90.00,2,14,100,0.0,0.7,3,0
R241,100R,CN065-0805,30.22,62.79,90.00,1,14,100,0.0,0.7,3,0
R239,100R,CN065-0805,38.42,62.79,90.00,2,14,100,0.0,0.7,3,0
R155,100R,CN065-0805,35.45,319.35,90.00,1,14,100,0.0,0.7,3,0
R154,100R,CN065-0805,39.66,319.35,90.00,2,14,100,0.0,0.7,3,0
R195,100R,CN065-0805,39.45,199.35,90.00,1,14,100,0.0,0.7,3,0
R196,100R,CN065-0805,43.45,199.35,90.00,2,14,100,0.0,0.7,3,0
R240,100R,CN065-0805,34.27,62.70,90.00,1,14,100,0.0,0.7,3,0
R238,100R,CN065-0805,42.52,62.70,90.00,2,14,100,0.0,0.7,3,0
R262,100R,CN065-0805,43.00,55.00,90.00,1,14,100,0.0,0.7,3,0
R263,100R,CN065-0805,45.50,55.00,90.00,2,14,100,0.0,0.7,3,0
R237,100R,CN065-0805,46.52,62.70,90.00,1,14,100,0.0,0.7,3,0
R242,100R,CN065-0805,26.02,62.79,90.00,2,14,100,0.0,0.7,3,0
R153,100R,CN065-0805,43.85,319.35,90.00,1,14,100,0.0,0.7,3,0
R152,100R,CN065-0805,47.95,319.35,90.00,2,14,100,0.0,0.7,3,0
R197,100R,CN065-0805,47.55,199.35,90.00,1,14,100,0.0,0.7,3,0
R198,100R,CN065-0805,51.75,199.35,90.00,2,14,100,0.0,0.7,3,0
R303,100R,CN065-0805,44.00,114.75,0.00,1,14,100,0.0,0.7,3,0
R325,100R,CN065-0805,54.40,229.00,90.00,2,14,100,0.0,0.7,3,0
R151,100R,CN065-0805,52.05,319.35,90.00,1,14,100,0.0,0.7,3,0
R223,100R,CN065-0805,5.06,336.00,90.00,2,14,100,0.0,0.7,3,0
R313,100R,CN065-0805,56.92,278.25,0.00,1,14,100,0.0,0.7,3,0
R82,100R,CN065-0805,53.33,272.00,90.00,2,14,100,0.0,0.7,3,0
R199,100R,CN065-0805,55.75,199.36,90.00,1,14,100,0.0,0.7,3,0
R200,100R,CN065-0805,59.95,199.36,90.00,2,14,100,0.0,0.7,3,0
R156,100R,CN065-0805,31.61,319.25,90.00,1,14,100,0.0,0.7,3,0
R150,100R,CN065-0805,55.83,319.30,90.00,2,14,100,0.0,0.7,3,0
R249,100R,CN065-0805,60.00,111.83,0.00,1,14,100,0.0,0.7,3,0
R248,100R,CN065-0805,60.00,107.83,0.00,2,14,100,0.0,0.7,3,0
R304,100R,CN065-0805,43.00,92.50,0.00,1,14,100,0.0,0.7,3,0
R245,100R,CN065-0805,60.00,95.58,0.00,2,14,100,0.0,0.7,3,0
R246,100R,CN065-0805,60.00,99.58,0.00,1,14,100,0.0,0.7,3,0
R247,100R,CN065-0805,60.00,103.73,0.00,2,14,100,0.0,0.7,3,0
R243,100R,CN065-0805,60.00,87.33,0.00,1,14,100,0.0,0.7,3,0
R244,100R,CN065-0805,59.91,91.58,0.00,2,14,100,0.0,0.7,3,0
R201,100R,CN065-0805,65.50,197.00,0.00,1,14,100,0.0,0.7,3,0
R290,100R,CN065-0805,32.90,173.70,0.00,2,14,100,0.0,0.7,3,0
R322,100R,CN065-0805,96.60,240.60,0.00,1,14,100,0.0,0.7,3,0
R321,100R,CN065-0805,97.60,243.00,0.00,2,14,100,0.0,0.7,3,0
R54,100R,CN065-0805,112.75,234.00,90.00,1,14,100,0.0,0.7,3,0
R50,100R,CN065-0805,116.25,234.75,0.00,2,14,100,0.0,0.7,3,0
R65,100R,CN065-0805,124.25,43.00,90.00,1,14,100,0.0,0.7,3,0
R330,100R,CN065-0805,126.50,43.00,90.00,2,14,100,0.0,0.7,3,0
R95,100R,CN065-0805,127.28,328.16,90.00,1,14,100,0.0,0.7,3,0
R123,100R,CN065-0805,125.77,337.60,0.00,2,14,100,0.0,0.7,3,0
R23,100R,CN065-0805,136.25,264.50,0.00,1,14,100,0.0,0.7,3,0
R311,100R,CN065-0805,117.75,208.75,0.00,2,14,100,0.0,0.7,3,0
R332,100R,CN065-0805,137.50,68.75,0.00,1,14,100,0.0,0.7,3,0
R63,100R,CN065-0805,135.16,71.00,0.00,2,14,100,0.0,0.7,3,0
R98,100R,CN065-0805,132.33,316.21,90.00,1,14,100,0.0,0.7,3,0
R99,100R,CN065-0805,134.80,316.17,90.00,2,14,100,0.0,0.7,3,0
R17,100R,CN065-0805,138.70,243.81,0.00,1,14,100,0.0,0.7,3,0
R16,100R,CN065-0805,121.25,263.50,90.00,2,14,100,0.0,0.7,3,0
R100,100R,CN065-0805,137.36,316.11,90.00,1,14,100,0.0,0.7,3,0
R101,100R,CN065-0805,139.89,316.09,90.00,2,14,100,0.0,0.7,3,0
R102,100R,CN065-0805,142.45,316.10,90.00,1,14,100,0.0,0.7,3,0
R96,100R,CN065-0805,127.38,316.06,90.00,2,14,100,0.0,0.7,3,0
R97,100R,CN065-0805,129.95,316.04,90.00,1,14,100,0.0,0.7,3,0
R103,100R,CN065-0805,145.00,316.00,90.00,2,14,100,0.0,0.7,3,0
R104,100R,CN065-0805,147.50,316.00,90.00,1,14,100,0.0,0.7,3,0
R105,100R,CN065-0805,150.00,316.00,90.00,2,14,100,0.0,0.7,3,0
R333,100R,CN065-0805,122.00,43.00,90.00,1,14,100,0.0,0.7,3,0
R59,100R,CN065-0805,151.50,124.41,90.00,2,14,100,0.0,0.7,3,0
R78,100R,CN065-0805,150.75,108.50,0.00,1,14,100,0.0,0.7,3,0
R68,100R,CN065-0805,155.00,107.75,90.00,2,14,100,0.0,0.7,3,0
R73,100R,CN065-0805,155.00,103.75,90.00,1,14,100,0.0,0.7,3,0
R337,100R,CN065-0805,150.75,106.00,0.00,2,14,100,0.0,0.7,3,0
R106,100R,CN065-0805,152.50,315.84,90.00,1,14,100,0.0,0.7,3,0
R107,100R,CN065-0805,155.00,320.15,90.00,2,14,100,0.0,0.7,3,0
R124,100R,CN065-0805,124.10,345.00,90.00,1,14,100,0.0,0.7,3,0
C57,100n,CN065-0805,13.25,283.15,0.00,1,13,100,0.0,1.3,3,0
C64,100n,CN065-0805,17.65,283.15,0.00,2,13,100,0.0,1.3,3,0
C94,100n,CN065-0805,17.25,214.00,90.00,1,13,100,0.0,1.3,3,0
C79,100n,CN065-0805,16.75,202.75,0.00,2,13,100,0.0,1.3,3,0
C86,100n,CN065-0805,20.85,202.75,0.00,1,13,100,0.0,1.3,3,0
C80,100n,CN065-0805,25.05,202.75,0.00,2,13,100,0.0,1.3,3,0
C58,100n,CN065-0805,21.65,283.15,0.00,1,13,100,0.0,1.3,3,0
C65,100n,CN065-0805,25.65,283.15,0.00,2,13,100,0.0,1.3,3,0
C129,100n,CN065-0805,29.50,130.80,90.00,1,13,100,0.0,1.3,3,0
C123,100n,CN065-0805,29.50,134.90,90.00,2,13,100,0.0,1.3,3,0
C130,100n,CN065-0805,29.50,139.05,90.00,1,13,100,0.0,1.3,3,0
C124,100n,CN065-0805,29.50,143.15,90.00,2,13,100,0.0,1.3,3,0
C131,100n,CN065-0805,29.50,147.25,90.00,1,13,100,0.0,1.3,3,0
C125,100n,CN065-0805,29.50,151.30,90.00,2,13,100,0.0,1.3,3,0
C132,100n,CN065-0805,29.50,155.40,90.00,1,13,100,0.0,1.3,3,0
C126,100n,CN065-0805,29.50,159.50,90.00,2,13,100,0.0,1.3,3,0
C133,100n,CN065-0805,29.50,163.60,90.00,1,13,100,0.0,1.3,3,0
C127,100n,CN065-0805,29.50,167.80,90.00,2,13,100,0.0,1.3,3,0
C134,100n,CN065-0805,29.50,171.80,90.00,1,13,100,0.0,1.3,3,0
C128,100n,CN065-0805,26.25,173.50,0.00,2,13,100,0.0,1.3,3,0
C59,100n,CN065-0805,29.75,283.15,0.00,1,13,100,0.0,1.3,3,0
C66,100n,CN065-0805,33.85,283.15,0.00,2,13,100,0.0,1.3,3,0
C70,100n,CN065-0805,33.19,296.82,0.00,1,13,100,0.0,1.3,3,0
C73,100n,CN065-0805,22.10,307.75,0.00,2,13,100,0.0,1.3,3,0
C87,100n,CN065-0805,29.25,202.75,0.00,1,13,100,0.0,1.3,3,0
C81,100n,CN065-0805,33.35,202.75,0.00,2,13,100,0.0,1.3,3,0
C106,100n,CN065-0805,28.02,59.45,0.00,1,13,100,0.0,1.3,3,0
C112,100n,CN065-0805,32.27,59.45,0.00,2,13,100,0.0,1.3,3,0
C69,100n,CN065-0805,33.55,315.95,0.00,1,13,100,0.0,1.3,3,0
C62,100n,CN065-0805,37.85,315.95,0.00,2,13,100,0.0,1.3,3,0
C117,100n,CN065-0805,39.50,54.00,0.00,1,13,100,0.0,1.3,3,0
C113,100n,CN065-0805,23.77,59.45,0.00,2,13,100,0.0,1.3,3,0
C105,100n,CN065-0805,36.27,59.45,0.00,1,13,100,0.0,1.3,3,0
C111,100n,CN065-0805,40.52,59.50,0.00,2,13,100,0.0,1.3,3,0
C149,100n,CN065-0805,37.75,37.25,90.00,1,13,100,0.0,1.3,3,0
C118,100n,CN065-0805,41.50,51.00,90.00,2,13,100,0.0,1.3,3,0
C88,100n,CN065-0805,37.35,202.75,0.00,1,13,100,0.0,1.3,3,0
C82,100n,CN065-0805,41.45,202.75,0.00,2,13,100,0.0,1.3,3,0
C135,100n,CN065-0805,44.00,111.25,90.00,1,13,100,0.0,1.3,3,0
C122,100n,CN065-0805,29.50,126.60,90.00,2,13,100,0.0,1.3,3,0
C68,100n,CN065-0805,41.95,315.95,0.00,1,13,100,0.0,1.3,3,0
C61,100n,CN065-0805,46.05,315.95,0.00,2,13,100,0.0,1.3,3,0
C89,100n,CN065-0805,45.50,202.75,0.00,1,13,100,0.0,1.3,3,0
C83,100n,CN065-0805,49.65,202.75,0.00,2,13,100,0.0,1.3,3,0
C67,100n,CN065-0805,50.15,315.95,0.00,1,13,100,0.0,1.3,3,0
C60,100n,CN065-0805,54.25,315.95,0.00,2,13,100,0.0,1.3,3,0
C136,100n,CN065-0805,31.75,95.50,90.00,1,13,100,0.0,1.3,3,0
C108,100n,CN065-0805,56.66,97.83,90.00,2,13,100,0.0,1.3,3,0
C107,100n,CN065-0805,56.66,89.58,90.00,1,13,100,0.0,1.3,3,0
C114,100n,CN065-0805,56.66,93.83,90.00,2,13,100,0.0,1.3,3,0
C115,100n,CN065-0805,56.66,101.83,90.00,1,13,100,0.0,1.3,3,0
C109,100n,CN065-0805,56.66,105.83,90.00,2,13,100,0.0,1.3,3,0
C110,100n,CN065-0805,53.91,110.08,90.00,1,13,100,0.0,1.3,3,0
C116,100n,CN065-0805,56.66,110.08,90.00,2,13,100,0.0,1.3,3,0
C90,100n,CN065-0805,53.75,202.75,0.00,1,13,100,0.0,1.3,3,0
C84,100n,CN065-0805,57.85,202.75,0.00,2,13,100,0.0,1.3,3,0
C91,100n,CN065-0805,61.95,202.75,0.00,1,13,100,0.0,1.3,3,0
C85,100n,CN065-0805,64.15,200.05,0.00,2,13,100,0.0,1.3,3,0
C169,100n,CN065-0805,61.25,247.00,90.00,1,13,100,0.0,1.3,3,0
C15,100n,CN065-0805,69.50,254.00,90.00,2,13,100,0.0,1.3,3,0
C97,100n,CN065-0805,29.00,231.75,0.00,1,13,100,0.0,1.3,3,0
C34,100n,CN065-0805,94.75,228.50,90.00,2,13,100,0.0,1.3,3,0
C178,100n,CN065-0805,103.00,229.60,90.00,1,13,100,0.0,1.3,3,0
C29,100n,CN065-0805,112.25,230.00,0.00,2,13,100,0.0,1.3,3,0
C22,100n,CN065-0805,108.50,225.75,0.00,1,13,100,0.0,1.3,3,0
C176,100n,CN065-0805,107.00,234.75,0.00,2,13,100,0.0,1.3,3,0
C16,100n,CN065-0805,61.25,255.50,90.00,1,13,100,0.0,1.3,3,0
C3,100n,CN065-0805,117.80,264.25,0.00,2,13,100,0.0,1.3,3,0
C42,100n,CN065-0805,127.25,320.00,90.00,1,13,100,0.0,1.3,3,0
