%CSV delimiter: comma,,,,,,,,,
%LiBCMrevB P&P,,,,,,,,,
%2021JUN10,,,,,,,,,
%Orient PCB _TBD___,,,,,,,,,
%unit mm,,,,,,,,,
,,,,,,,,,
%tip size XS: 0402/0603,,,,,,,,,
%tip size S: 0805/1206/1210/1812/2010/2512/SOT-23/SMA/SMB,,,,,,,,,
%tip size M: SOT-23/SOT223/SOT-89/TO-252,,,,,,,,,
%tip size ML: TSSOP-16+,,,,,,,,,
%nozzle 1 tip: M,,,,,,,,,
%nozzle 2 tip: S,,,,,,,,,
,,,,,,,,,
%Configure board offset,OriginOffsetCommand,X,Y,,,,,,
65535,0,0,0,,,,,,
,,,,,,,,,
%Configure part offset on reel,1=StackOffset Command,Stack (reel number),X,Y,Comment,,,,
%Tray (front),,,,,,,,,
65535,1,0,-3.25,3.25,LTC6804-2,,,,
%8mm Feeders,,,,,,,,,
65535,1,1,0,-0.3,5M1_R1206,,,,
65535,1,2,0,-0.3,100k_R0805,,,,
65535,1,3,0,-0.3,71k5_R0805,,,,
65535,1,4,0,-0.3,20k0_R0805_500mW,,,,
65535,1,5,0,-0.3,10k0_R0805_250mW,,,,
65535,1,6,0,-0.3,Diode_1N4148W,,,,
65535,1,7,0,-0.5,22n_C1206,,,,
65535,1,8,0,-0.3,3k3_R0805,,,,
65535,1,9,0,-0.4,1k0_R0805,,,,
65535,1,10,0,-0.3,220_R0805,,,,
65535,1,11,0,-0.3,120_R0805,,,,
65535,1,12,0,-0.3,82_R0805,,,,
65535,1,13,0,-0.3,10n_C0805,,,,
65535,1,14,0,-0.3,PFET,,,,
65535,1,15,0,-0.3,1u_C0805,,,,
65535,1,16,0,-0.3,100n_C0805,,,,
65535,1,17,0,-0.3,22u_C1210,,,,
65535,1,18,0,-0.3,20p_C0805,,,,
65535,1,19,0,-0.3,LED,,,,
65535,1,20,0,-0.3,NFET,,,,
65535,1,21,0,-0.3,Temp10k,,,,
,,,,,,,,,
%12mm Feeders,,,,,,,,,
65535,1,22,0,-0.5,75_R2010,,,,
65535,1,23,0,-0.5,NPN_SOT223,,,,
65535,1,24,0,-0.5,LTC6820,,,,
65535,1,25,0,-0.5,LTC1487,,,,
,,,,,,,,,
%16mm Feeders,,,,,,,,,
65535,1,26,0.4,-0.3,NO_PART,,,,
65535,1,27,0.1,-0.3,NO_PART,,,,
,,,,,,,,,
%Configure part2part reel spacing,2=FeedSpacing Command,Stack (reel number),Spacing,,,,,,
%Tray,,,,,,,,,
65535,2,0,18,,See above,,,,
%8mm,,,,,,,,,
65535,2,1,4,,See above,,,,
65535,2,2,4,,See above,,,,
65535,2,3,4,,See above,,,,
65535,2,4,4,,See above,,,,
65535,2,5,4,,See above,,,,
65535,2,6,4,,See above,,,,
65535,2,7,4,,See above,,,,
65535,2,8,4,,See above,,,,
65535,2,9,4,,See above,,,,
65535,2,10,4,,See above,,,,
65535,2,11,4,,See above,,,,
65535,2,12,4,,See above,,,,
65535,2,13,4,,See above,,,,
65535,2,14,4,,See above,,,,
65535,2,15,4,,See above,,,,
65535,2,16,4,,See above,,,,
65535,2,17,4,,See above,,,,
65535,2,18,4,,See above,,,,
65535,2,19,4,,See above,,,,
65535,2,20,4,,See above,,,,
65535,2,21,4,,See above,,,,
,,,,,,,,,
%12mm,,,,,,,,,
65535,2,22,8,,See above,,,,
65535,2,23,8,,See above,,,,
65535,2,24,8,,See above,,,,
65535,2,25,8,,See above,,,,
,,,,,,,,,
%16mm,,,,,,,,,
65535,2,26,12,,See above,,,,
65535,2,27,12,,See above,,,,
,,,,,,,,,
%Speed 70 Percent Command,,,,,,,,,
%Command,Speed/10,,,,,,,,
0,7,0,0,0,0,0,0,,
,,,,,,,,,
%Rotation 0 is as pulled from reel,,,,,,,,,
%Rotation negative is CCW from reel,,,,,,,,,
%Rotation positive is CW from reel,,,,,,,,,
,,,,,,,,,
%Part Num,Nozzle,Reel,X(mm),Y(mm),Rotation,Height(mm),Skip,Reference,Comment
1,2,10,118.75,106,90,0.8,0,R54,R_0805/220
2,2,10,230.5,150.1625,90,0.8,0,R59,R_0805/220
3,2,10,295.85,142.3375,90,0.8,0,R63,R_0805/220
4,2,10,312,122.75,270,0.8,0,R65,R_0805/220
5,2,10,246.6625,151.75,180,0.8,0,R78,R_0805/220
6,2,11,122.75,87,0,0.8,0,R121,R_0805/120
7,2,11,90.75,58,270,0.8,0,R17,R_0805/120
8,2,11,11.5,30.5,180,0.8,0,R223,R_0805/120
