Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0805_2012Metric",133.000000,105.750000,270.000000,top
"C2","1u","C_0805_2012Metric",124.250000,141.500000,90.000000,top
"C3","100n","C_0805_2012Metric",90.750000,118.000000,270.000000,top
"C4","100n","C_0805_2012Metric",87.250000,143.500000,0.000000,top
"C5","1u","C_0805_2012Metric",132.250000,85.950000,90.000000,top
"C6","1u","C_0805_2012Metric",129.750000,83.750000,270.000000,top
"C7","1u","C_0805_2012Metric",132.250000,80.750000,90.000000,top
"C8","22u","C_1210_3225Metric",297.800000,132.650000,270.000000,top
"C9","1u","C_0805_2012Metric",129.250000,78.000000,0.000000,top
"C10","100n","C_0805_2012Metric",87.250000,138.500000,0.000000,top
"C11","1u","C_0805_2012Metric",300.750000,132.060000,270.000000,top
"C12","1u","C_0805_2012Metric",132.250000,89.750000,90.000000,top
"C13","1u","C_0805_2012Metric",91.250000,94.250000,0.000000,top
"C14","100n","C_0805_2012Metric",307.670000,131.500000,180.000000,top
"C15","100n","C_0805_2012Metric",101.000000,69.500000,0.000000,top
"C16","100n","C_0805_2012Metric",99.500000,61.250000,0.000000,top
"C17","22u","C_1210_3225Metric",292.890000,127.520000,90.000000,top
"C18","22u","C_1210_3225Metric",300.160000,127.560000,90.000000,top
"C19","22u","C_1210_3225Metric",296.630000,127.530000,90.000000,top
"C20","220u","CP_Elec_10x10",282.400000,126.000000,270.000000,top
"C21","1u","C_0805_2012Metric",227.750000,129.500000,0.000000,top
"C22","100n","C_0805_2012Metric",129.250000,108.500000,270.000000,top
"C23","22u","C_1210_3225Metric",306.250000,55.500000,270.000000,top
"C24","1u","C_0805_2012Metric",284.650000,152.650000,180.000000,top
"C25","22u","C_1210_3225Metric",317.250000,41.000000,180.000000,top
"C26","22u","C_1210_3225Metric",265.500000,120.025000,270.000000,top
"C27","220u","CP_Elec_10x10",314.250000,51.750000,270.000000,top
"C28","220u","CP_Elec_10x10",277.000000,108.000000,270.000000,top
"C29","100n","C_0805_2012Metric",125.000000,112.250000,90.000000,top
"C31","68n","C_1206_3216Metric",320.000000,135.750000,90.000000,top
"C32","DNP","C_1206_3216Metric",254.225000,151.250000,0.000000,top
"C33","22n","C_1206_3216Metric",250.250000,153.775000,90.000000,top
"C34","100n","C_0805_2012Metric",126.500000,94.750000,0.000000,top
"C35","100n","C_0805_2012Metric",31.000000,127.500000,0.000000,top
"C36","100n","C_0805_2012Metric",35.050000,130.000000,180.000000,top
"C37","100n","C_0805_2012Metric",35.050000,135.000000,180.000000,top
"C38","100n","C_0805_2012Metric",35.050000,140.000000,180.000000,top
"C39","100n","C_0805_2012Metric",35.050000,145.000000,180.000000,top
"C40","100n","C_0805_2012Metric",35.000000,150.000000,180.000000,top
"C41","100n","C_0805_2012Metric",39.250000,155.000000,180.000000,top
"C42","100n","C_0805_2012Metric",35.000000,127.500000,180.000000,top
"C43","100n","C_0805_2012Metric",35.050000,132.500000,180.000000,top
"C44","100n","C_0805_2012Metric",35.050000,137.500000,180.000000,top
"C45","100n","C_0805_2012Metric",35.050000,142.500000,180.000000,top
"C46","100n","C_0805_2012Metric",35.000000,147.500000,180.000000,top
"C47","100n","C_0805_2012Metric",35.000000,152.500000,180.000000,top
"C48","100p","C_0805_2012Metric",335.750000,21.500000,0.000000,top
"C49","100n","C_0805_2012Metric",19.000000,129.000000,180.000000,top
"C50","100n","C_0805_2012Metric",6.000000,125.000000,180.000000,top
"C51","1u","C_0805_2012Metric",11.000000,143.250000,0.000000,top
"C52","100p","C_0805_2012Metric",26.400000,22.750000,180.000000,top
"C53","1u","C_0805_2012Metric",10.500000,140.000000,270.000000,top
"C54","1u","C_0805_2012Metric",14.000000,139.250000,270.000000,top
"C55","22n","C_1206_3216Metric",32.500000,7.000000,90.000000,top
"C56","22n","C_1206_3216Metric",29.500000,7.000000,90.000000,top
"C57","100n","C_0805_2012Metric",71.850000,13.250000,90.000000,top
"C58","100n","C_0805_2012Metric",71.850000,21.650000,90.000000,top
"C59","100n","C_0805_2012Metric",71.850000,29.750000,90.000000,top
"C60","100n","C_0805_2012Metric",39.050000,54.250000,270.000000,top
"C61","100n","C_0805_2012Metric",39.050000,46.050000,270.000000,top
"C62","100n","C_0805_2012Metric",39.050000,37.850000,270.000000,top
"C63","100n","C_0805_2012Metric",39.750000,30.000000,180.000000,top
"C64","100n","C_0805_2012Metric",71.850000,17.650000,90.000000,top
"C65","100n","C_0805_2012Metric",71.850000,25.650000,90.000000,top
"C66","100n","C_0805_2012Metric",71.850000,33.850000,90.000000,top
"C67","100n","C_0805_2012Metric",39.050000,50.150000,270.000000,top
"C68","100n","C_0805_2012Metric",39.050000,41.950000,270.000000,top
"C69","100n","C_0805_2012Metric",39.050000,33.550000,270.000000,top
"C70","100n","C_0805_2012Metric",58.000000,33.250000,270.000000,top
"C71","22n","C_1206_3216Metric",36.000000,7.000000,90.000000,top
"C72","22n","C_1206_3216Metric",39.000000,7.000000,90.000000,top
"C73","100n","C_0805_2012Metric",47.250000,22.250000,90.000000,top
"C74","1u","C_0805_2012Metric",43.750000,27.500000,180.000000,top
"C75","1u","C_0805_2012Metric",43.750000,24.750000,180.000000,top
"C76","1u","C_0805_2012Metric",48.000000,26.000000,0.000000,top
"C77","100p","C_0805_2012Metric",43.750000,22.250000,0.000000,top
"C78","22n","C_1206_3216Metric",249.250000,6.750000,90.000000,top
"C79","100n","C_0805_2012Metric",152.250000,16.750000,90.000000,top
"C80","100n","C_0805_2012Metric",152.250000,25.050000,90.000000,top
"C81","100n","C_0805_2012Metric",152.250000,33.350000,90.000000,top
"C82","100n","C_0805_2012Metric",152.250000,41.450000,90.000000,top
"C83","100n","C_0805_2012Metric",152.250000,49.650000,90.000000,top
"C84","100n","C_0805_2012Metric",152.250000,57.850000,90.000000,top
"C85","100n","C_0805_2012Metric",154.950000,64.150000,270.000000,top
"C86","100n","C_0805_2012Metric",152.250000,20.850000,90.000000,top
"C87","100n","C_0805_2012Metric",152.250000,29.250000,90.000000,top
"C88","100n","C_0805_2012Metric",152.250000,37.350000,90.000000,top
"C89","100n","C_0805_2012Metric",152.250000,45.500000,90.000000,top
"C90","100n","C_0805_2012Metric",152.250000,53.750000,90.000000,top
"C91","100n","C_0805_2012Metric",152.250000,61.950000,90.000000,top
"C92","22n","C_1206_3216Metric",252.250000,6.750000,90.000000,top
"C93","100p","C_0805_2012Metric",246.250000,21.700000,180.000000,top
"C94","100n","C_0805_2012Metric",141.000000,17.250000,180.000000,top
