%CSV delimiter: comma,,,,,,,,,
%LiBCMrevB P&P,,,,,,,,,
%2021OCT29,,,,,,,,,
%R223 is bottom right corner,,,,,,,,,
%unit mm,,,,,,,,,
,,,,,,,,,
%tip size XS: 0402/0603,,,,,,,,,
%tip size S: 0805/1206/1210/1812/2010/2512/SOT-23/SMA/SMB,,,,,,,,,
%tip size M: SOT-23/SOT223/SOT-89/TO-252,,,,,,,,,
%tip size ML: TSSOP-16+,,,,,,,,,
%nozzle 1 tip: S,,,,,,,,,
%nozzle 2 tip: ML,,,,,,,,,
,,,,,,,,,
%Configure board offset,OriginOffsetCommand,X,Y,,,,,,
65535,0,0,0,,,,,,
,,,,,,,,,
%Configure part offset on reel,1=StackOffset Command,Stack (reel number),X,Y,Comment,,,,
%Tray (front),,,,,,,,,
65535,1,0,-3.25,3.25,LTC6804-2,,,,
%8mm Feeders,,,,,,,,,
65535,1,1,-0.3,-0.4,5M1_R1206,,,,
65535,1,2,-0.3,-0.4,100k_R0805,,,,
65535,1,3,-0.3,-0.4,71k5_R0805,,,,
65535,1,4,-0.3,-0.4,100n_C0805,,,,
65535,1,5,-0.3,-0.4,10k_R0805_250mW,,,,
65535,1,6,-0.3,-0.4,Diode_1N4148W,,,,
65535,1,7,-0.3,-0.4,22n_C1206,,,,
65535,1,8,-0.3,-0.4,100_R0805,,,,
65535,1,9,-0.3,-0.4,20_R0805,,,,
65535,1,10,-0.3,-0.4,7k32_R0805,,,,
65535,1,11,-0.3,-0.4,1k24_R0805,,,,
65535,1,12,-0.3,-0.4,768_R0805,,,,
65535,1,13,-0.3,-0.4,100p_C0805,,,,
65535,1,14,-0.3,-0.4,PFET,,,,
65535,1,15,-0.3,-0.4,1u_C0805,,,,
65535,1,16,-0.3,-0.4,AP63205_Buck,,,,
65535,1,17,-0.3,-0.4,22u_C1210,,,,
65535,1,18,-0.3,-0.4,LTC1797_opamp,,,,
65535,1,19,-0.3,-0.4,LED,,,,
65535,1,20,-0.3,-0.4,NFET,,,,
65535,1,21,-0.3,-0.4,Temp10k,,,,
,,,,,,,,,
%12mm Feeders,,,,,,,,,
65535,1,22,-0.3,-0.4,75_R2010,,,,
65535,1,23,-0.3,-0.4,NPN_SOT223,,,,
65535,1,24,-0.3,-0.4,Diode_HVDC,,,,
65535,1,25,0,-0.4,LTC6820,,,,
,,,,,,,,,
%16mm Feeders,,,,,,,,,
65535,1,26,0,0,NO_PART,,,,
65535,1,27,0,0,NO_PART,,,,
,,,,,,,,,
%Configure part2part reel spacing,2=FeedSpacing Command,Stack (reel number),Spacing,,,,,,
%Tray,,,,,,,,,
65535,2,0,18,,See above,,,,
%8mm,,,,,,,,,
65535,2,1,4,,See above,,,,
65535,2,2,4,,See above,,,,
65535,2,3,4,,See above,,,,
65535,2,4,4,,See above,,,,
65535,2,5,4,,See above,,,,
65535,2,6,4,,See above,,,,
65535,2,7,4,,See above,,,,
65535,2,8,4,,See above,,,,
65535,2,9,4,,See above,,,,
65535,2,10,4,,See above,,,,
65535,2,11,4,,See above,,,,
65535,2,12,4,,See above,,,,
65535,2,13,4,,See above,,,,
65535,2,14,4,,See above,,,,
65535,2,15,4,,See above,,,,
65535,2,16,4,,See above,,,,
65535,2,17,4,,See above,,,,
65535,2,18,4,,See above,,,,
65535,2,19,4,,See above,,,,
65535,2,20,4,,See above,,,,
65535,2,21,4,,See above,,,,
,,,,,,,,,
%12mm,,,,,,,,,
65535,2,22,4,,See above,,,,
65535,2,23,8,,See above,,,,
65535,2,24,4,,See above,,,,
65535,2,25,8,,See above,,,,
,,,,,,,,,
%16mm,,,,,,,,,
65535,2,26,12,,See above,,,,
65535,2,27,12,,See above,,,,
,,,,,,,,,
%Speed 100 Percent Command,,,,,,,,,
%Command,Speed/10,,,,,,,,
0,10,0,0,0,0,0,0,,
,,,,,,,,,
%Rotation 0 is as pulled from reel,,,,,,,,,
%Rotation negative is CCW from reel,,,,,,,,,
%Rotation positive is CW from reel,,,,,,,,,
,,,,,,,,,
%I manually added -0.5 to each X and -0.5 to each Y position,,,,,,,,,
,,,,,,,,,
%Part Num,Nozzle,Reel,X(mm),Y(mm),Rotation,Height(mm),Skip,Reference,Comment
1,1,3,86.75,140.5,90,0.65,0,R020,R_0805/71k5
2,1,3,86.75,145.5,90,0.65,0,R021,R_0805/71k5
3,1,3,90,143.75,0,0.65,0,R006,R_0805/71k5
4,1,3,92.5,63,0,0.65,0,R323,R_0805/71k5
5,1,3,92.75,55,0,0.65,0,R324,R_0805/71k5
